Campus,Semester,Course,Feedback_good,Feedback_bad,Feedback_extra
Aalborg,9,IT-ret,Alle undervisere var rigtig gode og engageret i deres undervisning.  Indholdet af kurset har stor relevans til studiet.   Godt med en case study i løbet af kurset til at prøve at skrive juridisk.,"Fire timers forelæsning i træk er meget lang tid, især når det ligger om eftermiddagen.  Forelæsningerne kunne i stedet splittes op, så man har to om ugen.   Der måtte gerne være mere praktisk, som at diskutere cases i grupper, anden ""opgaveregning"" eller flere case study afleveringer med mulighed for feedback.",
Aalborg,9,Specialiseringskursus i programmeringsteknologi,"Vi nåede alle at lave tre fremlæggelser i løbet af kurset, hvilket gør vi føler os godt forberedt til eksamen.","Holdet var opdelt på en måde, så fremlæggelserne handlede om enten process calculus eller energioptimering i programmeringssprog, som er MEGET forskellige emner. Det var svært at give god feedback på fremlæggelser som ikke omhandlede ens eget emne. Det ville gøre kurset meget bedre, hvis emnerne passede bedre sammen, da det er demotiverende at forberede sig til, høre på samt give feedback på fremlæggelser som er så fjernt fra og irrelevant for ens eget emne.",Kurset fungerede fint selvom det var online.
Aalborg,9,Project,Vejledere er engageret og gode til at give feedback  Motiverende og interessant at arbejde med forskning,,
Aalborg,9,Semester,Godt samspil mellem specialiseringskurset og projektet.,,
Aalborg,9,Studiemiljø,Vi er glade for at have vores eget grupperum!,Bedre køkkenfaciliteter i FRB 7 G (fx mikroovn)  Bedre studiemiljø evt. flere planter i FRB 7 G (de gamle matematikbarakker),"De fleste grupperum på FRB 7 G står tomme/bliver ikke brugt. Mon ikke der er nogen, som kunne få glæde af dem."
Aalborg,9,Entrepreneurskab,There are plenty of material.  -The invited lectures are interesting.,"Some material was uncovered because a schedule issue.  -The lectures were not very interesting. They looked like the lecturer is just reading his notes. Maybe focus on providing more applied examples or experiences could be better. After a long time, someone could remember better how Dropbox started instead of listing the complete theory behind it.",
Aalborg,9,Specialiseringskursus i databaseteknologi,Papers are very good.  -Professors provide good feedback.,"The students involvement were very low. A mechanism to increase the participation would improve that. For instance, defining deadlines for upload questions.  -The opponents strategy was wrong because we were few people, so some students were opponents to themselves.",
Aalborg,9,Project,It is excellent.,,
Aalborg,9,Semester,Efforts to have in-campus lectures are remarkable.,The managing of the Corona situation was somehow confusing.,
Aalborg,9,Entrepreneurskab,"Online kurser fungerede godt.  Præsentation fra eksterne virksomheder fungerede også rigtig godt, de gav et godt indblik i virkeligheden.",,
Aalborg,9,IT-ret,"Forelæsere var gode til at gøre emnet interessant, medbringe de studerende aktivt i undervisningen, og gøre det relevant hvad vi kan bruge kurset til i fremtiden.",Undervisningsgangen omkring straffeloven var måske lidt for bred.,"God humor i opgaver og slides, fortsæt med det :)"
Aalborg,9,Specialiseringskursus i maskinintelligens,"Kurset har forberedt os godt til eksamen, da størestedelen af kurset har været fremlæggelser af artikler og det også er det som eksamen kommer til at være.","Der var lidt problemer med at folk ikke skrev sig ind på kalenderen over fremlæggelser i tide, så nogle dage endte med at have mange fremlæggelser, mens andre havde få.",
Aalborg,9,Project,Det er gået fint nok.,,Husk at tjekke om jeres ML modeller convergerer ;)
Aalborg,9,Semester,,"Der gik lidt tid før at vi fik grupperum, men da vi fik dem fungerede det fint.",
Aalborg,9,Entrepreneurskab,Synes at alt fungerede godt. Kan godt lide at det hele var online og optaget. Det har gjort det muligt at se nogle af lektionerne igen mens jeg lavede mini-projektet,"mini-projektet var ret omfattende, 30 sider til en enkeltmands gruppe. I større hold er det rimeligt.",
Aalborg,9,Specialiseringskursus i maskinintelligens,Når alt var online og undervisningen var splittet mellem en lektor og en studerende var alt godt,"Hybrid rum mellem fysisk og online, ikke optimalt. Manglende substitution til de dage der er kun elev fremlæggelser, hvis ingen har stillet sig til rådighed.",
Aalborg,9,Project,Synes at alt er fint,,
Aalborg,9,IT-ret,"Gode forelæsere, god undervisningsstruktur"," Foretræk slides i PDF-format.  - Det har været uklart, hvad der skal til for at være retstridig ift. bedrageriparagrafferne.  - Både synopse og PMM-opgave indeholdte modstridende informationer.","Vi har været rigtig glade for kurset, så det her er små forslag til forbedringer."
Aalborg,9,Specialiseringskursus i maskinintelligens,," Information om opdeling af kurset skulle være spredt tidligere.  - En skam at en stor del af studerende ikke ville fremlægge. Måske skulle det være et hårdt krav.  - Forelæsere skal være meget mere klar over, hvad vi allerede har fået undervisning i, og hvad vi ikke ved. Eksempelvis ved vi rigeligt om precision/recall, men ikke en skid om eigen decomposition af en adjecency matrix.",
Aalborg,9,Project, God vejledning  - God frihed  - Spændende," Mangler compute ressourcer (vi har adgang til Claaudia, men det er ikke nok)",
Aalborg,9,Semester,,, Coronavirus :shrug:
Aalborg,9,Studiemiljø,,"Når man ikke er på uni hver dag (herunder når man ikke har grupperum), så kommer man til at føle sig isoleret og ensom.",Vi har glemt hvordan universitetet ser ud.
Aalborg,9,IT-ret,Gode forelæsere.  Interessant kursus.  Fint med en øvelsesopgave/case.  Fedt med fysiske forelæsninger.,Manglende mulighed for at følge undervisningen hjemmefra ved sygdom eller mistanke derom.,
Aalborg,9,Specialiseringskursus i maskinintelligens,Godt at have mulighed for at se medstuderenes fremlæggelser.,"Virkede lidt som spild af tid. Der var ikke så meget undervisning, der relaterede sig til vores projekt.",
Aalborg,9,Project,Meget kontakt med vejleder.,Online vejledermøder fungerer ikke optimalt - svært at høre hvad der bliver sagt.  Meget lille grupperum som skal deles med en anden gruppe (Frederik Bajers Vej 7G).,
Aalborg,9,Studiemiljø,God udsigt fra grupperum i bygning FRB.V.7G.,"Kunne være rart at have adgang til et lille te-køkken med elkoger, mikrobølgeovn og køkkenvask i bygning FRB.V.7G.",
